technique,chapter,recipe_path,handbook_section,title,metric_id,metric_role,metric,unit,before_value,after_value,absolute_change,ratio_after_over_before,method,requires_llm,requires_network,engines,tool,sample_size,sample_unit,confidence,measured_date,last_verified,limitations
chunk-friendly-structure,03-content,03-content/chunk-friendly-structure,docs/03-content.md,Chunk-friendly structure: write pages a retriever can slice cleanly,self_contained_chunks,primary,"chunks that come out self-contained from a fixed-size splitter (chunk_size = 800, no overlap)",chunks,0,5,5,,deterministic-offline,false,false,GPTBot;ClaudeBot;PerplexityBot;Google-Extended;Bingbot,python3 stdlib (recursive character text splitter),1,article,moderate,2026-09-01,2026-09-04,"Measures a machine-legibility proxy (whether a chunk stands alone after fixed-size splitting), not whether any answer engine cites the page."
chunk-friendly-structure,03-content,03-content/chunk-friendly-structure,docs/03-content.md,Chunk-friendly structure: write pages a retriever can slice cleanly,chunks_produced,denominator,chunks the splitter produces from the document,chunks,5,5,0,1.0,deterministic-offline,false,false,GPTBot;ClaudeBot;PerplexityBot;Google-Extended;Bingbot,python3 stdlib (recursive character text splitter),1,article,moderate,2026-09-01,2026-09-04,"Measures a machine-legibility proxy (whether a chunk stands alone after fixed-size splitting), not whether any answer engine cites the page."
ssr-vs-csr-rendering,04-technical,04-technical/ssr-vs-csr-rendering,docs/04-technical.md,SSR vs CSR: make your content visible to AI crawlers,words_visible_no_js,primary,words of the HTML source a crawler that does not execute JavaScript can read,words,6,152,146,25.33,deterministic-offline,false,false,GPTBot;ClaudeBot;PerplexityBot;Google-Extended;Bingbot,perl + bash (tag/script stripping over the HTML source),,,,2026-08-26,2026-09-04,"Measures the mechanical visibility of the text to a fetch-only crawler, not whether any answer engine cites the page."
structured-data-jsonld,04-technical,04-technical/structured-data-jsonld,docs/04-technical.md,Structured data (JSON-LD): make your facts machine-readable,typed_facts,primary,typed facts a JSON-LD/schema.org parser extracts (keys other than @context/@type on a typed object),typed facts,0,37,37,,deterministic-offline,false,false,GPTBot;ClaudeBot;PerplexityBot;Google-Extended;Bingbot,python3 stdlib (re + json),2,"artefacts (one page, two variants)",moderate,2026-09-01,2026-09-04,"Measures the extractability of typed statements from the page source, not whether any answer engine cites the page."
structured-data-jsonld,04-technical,04-technical/structured-data-jsonld,docs/04-technical.md,Structured data (JSON-LD): make your facts machine-readable,typed_entities,secondary,typed entities a JSON-LD/schema.org parser extracts (objects carrying an @type),typed entities,0,17,17,,deterministic-offline,false,false,GPTBot;ClaudeBot;PerplexityBot;Google-Extended;Bingbot,python3 stdlib (re + json),2,"artefacts (one page, two variants)",moderate,2026-09-01,2026-09-04,"Measures the extractability of typed statements from the page source, not whether any answer engine cites the page."
ai-crawler-access,04-technical,04-technical/ai-crawler-access,docs/04-technical.md,AI crawler access: allow AI crawlers in robots.txt + publish an llms.txt,ai_user_agents_allowed,primary,AI crawler user-agents allowed by robots.txt for path / (of the 8 tested),user-agents,0,8,8,,deterministic-offline,false,false,GPTBot;ClaudeBot;anthropic-ai;PerplexityBot;Google-Extended;CCBot;Applebot-Extended;Bytespider,python3 stdlib + bash,8,AI crawler user-agents,moderate,2026-09-01,2026-09-04,"Measures a precondition (reachability and an extractable feed), not whether any answer engine cites the page."
ai-crawler-access,04-technical,04-technical/ai-crawler-access,docs/04-technical.md,AI crawler access: allow AI crawlers in robots.txt + publish an llms.txt,llms_txt_bytes,secondary,bytes of curated content exposed by llms.txt,bytes,0,2868,2868,,deterministic-offline,false,false,GPTBot;ClaudeBot;anthropic-ai;PerplexityBot;Google-Extended;CCBot;Applebot-Extended;Bytespider,python3 stdlib + bash,8,AI crawler user-agents,moderate,2026-09-01,2026-09-04,"Measures a precondition (reachability and an extractable feed), not whether any answer engine cites the page."
entity-clarity-sameas,05-authority,05-authority/entity-clarity-sameas,docs/05-authority.md,Entity clarity: disambiguate with sameAs + canonical IDs,entities_resolved,primary,named entities resolved to exactly one canonical Wikidata Q-ID via @id or sameAs,entities,0,5,5,,deterministic-offline,false,false,GPTBot;ClaudeBot;PerplexityBot;Google-Extended;Bingbot,"python3 stdlib (json, re, pathlib)",5,entities,moderate,2026-09-01,2026-09-04,"Measures the mechanical resolvability of each name to one canonical identifier, not whether any answer engine cites the page."
entity-clarity-sameas,05-authority,05-authority/entity-clarity-sameas,docs/05-authority.md,Entity clarity: disambiguate with sameAs + canonical IDs,entities,denominator,named entities the page declares in its about list,entities,5,5,0,1.0,deterministic-offline,false,false,GPTBot;ClaudeBot;PerplexityBot;Google-Extended;Bingbot,"python3 stdlib (json, re, pathlib)",5,entities,moderate,2026-09-01,2026-09-04,"Measures the mechanical resolvability of each name to one canonical identifier, not whether any answer engine cites the page."
citation-anchoring,06-measurement,06-measurement/citation-anchoring,docs/06-measurement.md,Citation anchoring: put a linkable source next to every claim,claim_source_pairs,primary,claim-to-source pairs a deterministic parser extracts (a claim line carrying an inline http(s) link),claim-source pairs,0,8,8,,deterministic-offline,false,false,GPTBot;ClaudeBot;PerplexityBot;Google-Extended;Bingbot,python3 stdlib (re) via bash,8,claims,low-moderate,2026-09-01,2026-09-04,"Measures how many claim-to-source pairs a parser can lift from the document, not whether any answer engine cites the page."
citation-anchoring,06-measurement,06-measurement/citation-anchoring,docs/06-measurement.md,Citation anchoring: put a linkable source next to every claim,claims,denominator,claims inside the marked claims block,claims,8,8,0,1.0,deterministic-offline,false,false,GPTBot;ClaudeBot;PerplexityBot;Google-Extended;Bingbot,python3 stdlib (re) via bash,8,claims,low-moderate,2026-09-01,2026-09-04,"Measures how many claim-to-source pairs a parser can lift from the document, not whether any answer engine cites the page."
